Pk,Year,Shares
jokicni01,2024,1.000
gilgesh01,2024,0.691
doncilu01,2024,0.611
antetgi01,2024,0.207
brunsja01,2024,0.153
tatumja01,2024,0.093
edwaran01,2024,0.019
sabondo01,2024,0.003
duranke01,2024,0.001
embiijo01,2023,1.000
jokicni01,2023,0.737
antetgi01,2023,0.662
tatumja01,2023,0.306
gilgesh01,2023,0.050
mitchdo01,2023,0.033
sabondo01,2023,0.030
doncilu01,2023,0.011
curryst01,2023,0.005
butleji01,2023,0.003
foxde01,2023,0.002
brunsja01,2023,0.001
moranja01,2023,0.001
jokicni01,2022,1.000
embiijo01,2022,0.807
antetgi01,2022,0.680
bookede01,2022,0.247
doncilu01,2022,0.167
tatumja01,2022,0.049
moranja01,2022,0.011
curryst01,2022,0.005
paulch01,2022,0.002
derozde01,2022,0.001
duranke01,2022,0.001
jamesle01,2022,0.001
jokicni01,2021,1.000
embiijo01,2021,0.604
curryst01,2021,0.467
antetgi01,2021,0.358
paulch01,2021,0.143
doncilu01,2021,0.043
lillada01,2021,0.039
randlju01,2021,0.021
rosede01,2021,0.010
goberru01,2021,0.008
westbru01,2021,0.005
simmobe01,2021,0.003
hardeja01,2021,0.001
jamesle01,2021,0.001
leonaka01,2021,0.001
antetgi01,2020,1.000
jamesle01,2020,0.783
hardeja01,2020,0.381
doncilu01,2020,0.208
leonaka01,2020,0.175
davisan02,2020,0.085
paulch01,2020,0.027
lillada01,2020,0.024
jokicni01,2020,0.019
siakapa01,2020,0.018
butleji01,2020,0.009
tatumja01,2020,0.001
antetgi01,2019,1.000
hardeja01,2019,0.825
georgpa01,2019,0.378
jokicni01,2019,0.225
curryst01,2019,0.186
lillada01,2019,0.073
embiijo01,2019,0.052
duranke01,2019,0.027
leonaka01,2019,0.014
westbru01,2019,0.009
goberru01,2019,0.001
jamesle01,2019,0.001
hardeja01,2018,1.000
jamesle01,2018,0.765
davisan02,2018,0.461
lillada01,2018,0.215
westbru01,2018,0.079
