Player-additional,Year,Shares
gilgesh01,2024,1.000
jokicni01,2024,1.000
doncilu01,2024,0.996
antetgi01,2024,0.956
tatumja01,2024,0.863
brunsja01,2024,0.743
edwaran01,2024,0.576
duranke01,2024,0.554
leonaka01,2024,0.489
davisan02,2024,0.465
jamesle01,2024,0.331
curryst01,2024,0.236
sabondo01,2024,0.210
halibty01,2024,0.152
bookede01,2024,0.141
brownja02,2024,0.101
maxeyty01,2024,0.032
georgpa01,2024,0.032
goberru01,2024,0.024
wembavi01,2024,0.022
willizi01,2024,0.022
banchpa01,2024,0.020
foxde01,2024,0.018
adebaba01,2024,0.014
derozde01,2024,0.002
antetgi01,2023,1.000
tatumja01,2023,0.968
embiijo01,2023,0.948
gilgesh01,2023,0.814
doncilu01,2023,0.806
jokicni01,2023,0.728
mitchdo01,2023,0.698
curryst01,2023,0.376
butleji01,2023,0.364
brownja02,2023,0.338
sabondo01,2023,0.294
foxde01,2023,0.288
lillada01,2023,0.274
randlju01,2023,0.250
jamesle01,2023,0.162
davisan02,2023,0.130
markkla01,2023,0.098
moranja01,2023,0.088
holidjr01,2023,0.078
duranke01,2023,0.070
brunsja01,2023,0.046
leonaka01,2023,0.030
siakapa01,2023,0.030
edwaran01,2023,0.028
jacksja02,2023,0.022
bookede01,2023,0.020
adebaba01,2023,0.018
hardeja01,2023,0.012
bridgmi01,2023,0.004
derozde01,2023,0.004
porzikr01,2023,0.004
georgpa01,2023,0.002
halibty01,2023,0.002
lavinza01,2023,0.002
lopezbr01,2023,0.002
youngtr01,2023,0.002
antetgi01,2022,1.000
doncilu01,2022,0.952
jokicni01,2022,0.952
bookede01,2022,0.920
tatumja01,2022,0.780
embiijo01,2022,0.828
moranja01,2022,0.602
duranke01,2022,0.552
curryst01,2022,0.548
derozde01,2022,0.368
townska01,2022,0.348
jamesle01,2022,0.338
paulch01,2022,0.228
youngtr01,2022,0.220
siakapa01,2022,0.126
goberru01,2022,0.090
butleji01,2022,0.064
adebaba01,2022,0.056
mitchdo01,2022,0.008
brownja02,2022,0.006
banede01,2022,0.002
bridgmi01,2022,0.002
holidjr01,2022,0.002
irvinky01,2022,0.002
middlkh01,2022,0.002
murrade01,2022,0.002
vanvlfr01,2022,0.002
antetgi01,2021,1.000
jokicni01,2021,0.996
curryst01,2021,0.992
doncilu01,2021,0.804
leonaka01,2021,0.646
lillada01,2021,0.744
embiijo01,2021,0.704
paulch01,2021,0.622
randlju01,2021,0.506
jamesle01,2021,0.348
goberru01,2021,0.296
butleji01,2021,0.262
georgpa01,2021,0.178
bealbr01,2021,0.142
irvinky01,2021,0.122
tatumja01,2021,0.138
westbru01,2021,0.088
hardeja01,2021,0.082
willizi01,2021,0.074
adebaba01,2021,0.064
mitchdo01,2021,0.052
duranke01,2021,0.046
bookede01,2021,0.042
sabondo01,2021,0.012
capelca01,2021,0.012
davisan02,2021,0.010
simmobe01,2021,0.004
vucevni01,2021,0.004
youngtr01,2021,0.004
greendr01,2021,0.002
lavinza01,2021,0.002
middlkh01,2021,0.002
antetgi01,2020,1.000
jamesle01,2020,1.000
hardeja01,2020,0.948
davisan02,2020,0.910
doncilu01,2020,0.832
leonaka01,2020,0.744
jokicni01,2020,0.622
lillada01,2020,0.568
paulch01,2020,0.398
siakapa01,2020,0.336
tatumja01,2020,0.306
butleji01,2020,0.294
goberru01,2020,0.220
simmobe01,2020,0.122
westbru01,2020,0.112
middlkh01,2020,0.164
