Pk,Year,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
achiupr01,2024,1,Precious Achiuwa,PF,24,NYK,9,184,12.4,0.482,0.070,0.302,13.5,10.6,12.1,3.8,1.1,6.0,7.6,12.6,0.1,0.1,0.2,0.053,-3.4,-0.1,-3.5,-0.1
adebaba01,2024,2,Bam Adebayo,C,26,MIA,5,192,18.2,0.532,0.103,0.216,6.5,22.7,14.4,20.1,0.6,0.0,7.0,29.1,0.1,0.1,0.2,0.047,1.7,0.4,2.1,0.2
alexani01,2024,3,Nickeil Alexander-Walker,SG,25,MIN,16,378,8.7,0.498,0.723,0.089,1.6,7.2,4.4,14.0,1.4,1.8,11.4,15.8,0.0,0.3,0.3,0.042,-2.1,0.8,-1.3,0.1
allengr01,2024,4,Grayson Allen,SG,28,PHO,2,43,4.5,0.518,1.000,0.800,5.6,17.2,11.3,6.5,1.2,0.0,30.7,10.6,0.0,0.0,-0.1,-0.062,-4.3,-1.2,-5.5,0.0
allenja01,2024,5,Jarrett Allen,C,25,CLE,4,127,27.2,0.702,0.000,0.703,13.7,35.9,24.9,6.8,2.0,3.2,9.4,19.6,0.5,0.3,0.8,0.285,5.8,2.5,8.4,0.3
alvarjo01,2024,6,Jose Alvarado,PG,25,NOP,4,62,-0.2,0.175,0.700,0.000,0.0,7.6,3.5,22.3,4.1,1.6,16.7,17.0,-0.3,0.1,-0.2,-0.177,-7.8,1.9,-6.0,-0.1
anderky01,2024,7,Kyle Anderson,PF,30,MIN,15,231,14.5,0.514,0.140,0.211,9.2,11.3,10.3,23.7,2.3,2.1,13.8,14.2,0.4,0.3,0.6,0.132,-0.7,3.0,2.3,0.3
antetth01,2024,8,Thanasis Antetokounmpo,PF,31,MIL,2,5,15.7,,,,0.0,0.0,0.0,0.0,10.3,19.7,,0.0,0.0,0.0,0.0,0.180,-3.6,15.8,12.1,0.0
anthoco01,2024,9,Cole Anthony,PG,23,ORL,7,103,5.9,0.400,0.317,0.220,2.1,14.7,8.1,14.4,2.0,0.9,10.0,21.3,-0.2,0.2,0.0,0.021,-6.0,1.2,-4.8,-0.1
anunoog01,2024,10,OG Anunoby,SF,26,NYK,9,324,13.9,0.583,0.351,0.117,2.4,17.7,9.8,4.8,1.3,2.5,7.9,17.2,0.3,0.1,0.4,0.064,-0.7,1.1,0.4,0.2
banchpa01,2024,11,Paolo Banchero,PF,21,ORL,7,262,18.9,0.554,0.268,0.329,5.7,20.5,12.8,22.5,1.5,1.4,15.8,33.9,0.0,0.6,0.6,0.109,3.3,1.4,4.7,0.4
batumni01,2024,12,Nicolas Batum,PF,35,PHI,6,170,9.4,0.584,0.759,0.276,6.2,16.6,11.6,6.8,0.3,2.5,13.3,10.2,0.2,0.1,0.2,0.068,-0.5,0.2,-0.4,0.1
bealbr01,2024,13,Bradley Beal,SG,30,PHO,4,154,9.9,0.539,0.390,0.085,4.7,4.0,4.4,20.7,1.0,0.6,17.5,22.6,-0.1,-0.2,-0.3,-0.078,-0.3,-3.5,-3.8,-0.1
beaslma01,2024,14,Malik Beasley,SG,27,MIL,6,131,12.8,0.646,0.610,0.000,0.9,12.0,6.5,4.5,1.6,0.0,6.8,15.4,0.2,0.0,0.2,0.077,-1.1,0.6,-0.5,0.1
