Pk,Pos,Ht,Wt
abdelal01,F-C,6-10,240
abdulma02,G,6-1,162
abdulta01,F,6-6,223
abdursh01,F,6-9,225
abrinal01,G-F,6-6,200
achiupr01,F,6-8,225
ackeral01,G,6-5,185
acresma01,F-C,6-11,220
acyqu01,F-C,6-7,240
adamsha01,G,6-4,220
adamsja01,G,6-0,225
adamsjo01,G,6-5,209
adamsmi01,G,5-10,162
adamsst01,C,6-11,265
addisra01,F-G,6-7,215
adebaba01,C-F,6-9,255
adelde01,F,6-7,200
adrieje01,F,6-7,245
afflaar01,G-F,6-5,210
agbajoc01,G,6-5,215
agerma01,G,6-5,202
aguirma01,F-G,6-6,232
ahearbl01,G,6-2,190
aingeda01,G,6-5,185
ajincal01,C-F,7-2,248
akognjo01,G,5-11,185
akoonde01,G,6-6,200
alabiso01,C,7-1,251
alarima01,F,6-8,217
aldamsa01,F,6-11,224
aldemfu01,F-C,6-10,240
aldrico01,C,6-11,250
aldrila01,F-C,6-11,250
alexacl01,F,6-8,245
alexaco01,G,6-1,185
alexaco02,G,6-5,205
alexaga01,F,6-7,240
alexajo01,F,6-8,230
alexaky01,F,6-11,220
alexaty01,G,6-3,195
alexavi01,C-F,6-9,265
alexani01,G,6-5,205
alforst01,G,6-2,183
alkinra01,G,6-5,225
allengr01,G,6-4,198
allenja01,C-F,6-11,243
allenje01,G,6-4,184
allenka01,G,6-1,200
allenla01,F-C,6-9,260
allenma01,F-C,6-10,255
allenra01,F,6-8,220
allenra02,G,6-5,205
allenti01,F,6-6,210
allento01,G-F,6-4,213
allrela01,C,6-11,250
almonmo01,G,6-6,225
alstode01,F,6-11,225
alstora01,G,6-2,171
alumape01,C,6-10,260
alvarjo01,G,6-0,179
amaecjo01,C-F,6-10,270
amayaas01,F,6-8,230
aminual01,F,6-8,220
amundlo01,F-C,6-9,220
anderch01,C-F,6-10,245
anderda03,C,6-11,245
anderal01,G-F,6-6,220
anderan02,G,6-6,215
anderde01,G,6-5,194
anderer01,F,6-9,220
andergr01,F-C,6-10,230
anderja01,G-F,6-6,213
anderju01,G,6-6,230
anderke01,G,6-1,168
anderky01,F-G,6-9,230
anderni01,F-G,6-6,205
anderri01,F-C,6-10,240
anderro01,F-G,6-7,215
anderry01,F,6-9,240
andersh01,F-G,6-6,208
anderwi01,G-F,6-7,190
andrima01,C,7-2,240
anigbik01,F-C,6-10,250
anslemi01,F,6-7,225
anstech01,C,7-0,249
antetgi01,F-G,6-11,242
antetko01,F,6-10,200
antetth01,F,6-7,219
anthoca01,F,6-7,238
anthoco01,G,6-2,185
anthogr01,G,6-0,176
anthojo01,C,6-9,245
anticpe01,C-F,6-11,260
anunoog01,F,6-7,232
applike01,G,6-1,185
araujra01,C,6-11,280
archiro01,F,6-11,250
arcidry01,G,6-3,195
arenagi01,G,6-4,191
arizatr01,F,6-8,215
armstbj01,G,6-2,175
armstbr01,G,6-5,188
armstda01,G,6-0,170
armsthi01,F-C,6-11,235
arroyca01,G,6-2,202
arthuda01,F,6-9,235
artisja01,G-F,6-7,213
asikom01,C,7-0,255
askewvi01,G-F,6-6,210
askinke01,G-F,6-7,197
atkinch01,G,5-11,160
augmost01,F-G,6-8,205
augusdj01,G,5-11,183
augusja01,F,6-10,235
austiis01,C,6-10,255
avdijde01,G-F,6-9,210
aventan01,F,6-9,235
averywi01,G,6-2,197
ayayijo01,G,6-5,180
ayongu01,C,6-10,250
pendeje02,F,6-9,240
aytonde01,C,7-0,250
azubuke01,G,6-5,220
azubuud01,C,6-10,280
babbch01,G,6-5,225
babbilu01,F,6-9,225
babicmi01,C-F,7-0,240
bacondw01,G,6-6,221
badjiib01,C,7-1,240
bagarda01,C,7-1,255
baglejo01,G,6-0,185
baglema01,F-C,6-10,235
baileam01,G,6-5,185
baileth01,F-C,6-11,215
baileto01,G,6-6,213
bairsca01,F-C,6-9,250
bakerla01,G,6-1,175
bakerma01,G,6-1,175
bakerro01,G,6-4,220
bakervi01,F-C,6-11,232
baldwpa01,G-F,6-9,220
baldwwa01,G,6-4,200
balkmre01,F,6-8,208
ballce01,F,6-8,210
ballla01,G,6-7,180
balllo01,G,6-6,190
bambamo01,C,7-0,231
banchpa01,F,6-10,250
banede01,G,6-5,215
banksma01,G,6-2,200
bannike01,F-C,6-9,235
bantoda01,G-F,6-9,204
barbeca01,G,6-2,190
barbole01,G,6-3,194
bardost01,G,6-5,190
bareajo01,G,5-10,180
bargnan01,F-C,7-0,245
barklch01,F,6-6,252
barkler01,G,6-1,177
barlodo01,F,6-9,221
barneha02,F,6-8,225
barnema02,F,6-7,226
barnesc01,G-F,6-7,227
barrean01,G,5-10,172
barrerj01,G-F,6-6,214
barroea01,C,7-0,250
barroda01,G,5-11,163
barrybr01,G,6-6,185
barrydr01,G,6-5,191
barryjo01,G,6-4,195
bartowi01,G,6-5,181
basdeed01,G,6-5,215
bassbr01,F,6-8,250
basspa01,F,6-8,200
bassech01,C,6-10,235
bastoma01,F,6-9,215
bateeme01,C,6-11,290
batesem01,G,6-10,170
bateske01,F,6-8,229
batises01,F-C,6-10,270
batismi01,F,6-8,225
battito01,C-F,6-11,230
battish01,F,6-8,220
battljo01,G,6-2,175
battlke01,F,6-6,210
batumni01,F-G,6-8,230
baxtelo01,F,6-8,260
bayleje01,G,6-3,200
baynear01,C,6-10,260
bazarse01,G,6-2,168
bazemke01,G-F,6-4,195
bazleda01,F,6-8,208
bealbr01,G,6-4,207
beaslje01,F,6-10,237
beaslma01,G,6-4,187
beaslmi01,F,6-9,235
beaubro01,G,6-0,170
beaucma01,G,6-6,199
beckco01,G,6-1,190
bedfowi01,C,7-0,225
belinma01,G-F,6-5,220
bellch01,G,6-3,200
belljo01,F,6-8,216
bellra01,G,6-5,204
belltr01,G,6-1,180
bembrde01,F,6-5,210
