Year,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
2024,1,Precious Achiuwa,PF,24,NYK,9,2,184,21,43,0.488,0,3,0.000,21,40,0.525,0.488,5,13,0.385,22,16,38,5,4,12,4,20,47,achiupr01
2024,2,Bam Adebayo,C,26,MIA,5,5,192,48,97,0.495,2,10,0.200,46,87,0.529,0.505,15,21,0.714,11,36,47,19,2,0,8,15,113,adebaba01
2024,3,Nickeil Alexander-Walker,SG,25,MIN,16,1,378,41,112,0.366,24,81,0.296,17,31,0.548,0.473,10,10,1.000,5,23,28,37,10,7,15,24,116,alexani01
2024,4,Grayson Allen,SG,28,PHO,2,2,43,1,5,0.200,1,5,0.200,0,0,,0.300,4,4,1.000,2,6,8,2,1,0,3,4,7,allengr01
2024,5,Jarrett Allen,C,25,CLE,4,4,127,25,37,0.676,0,0,,25,37,0.676,0.676,18,26,0.692,15,40,55,5,5,4,5,8,68,allenja01
2024,6,Jose Alvarado,PG,25,NOP,4,0,62,3,20,0.150,1,14,0.071,2,6,0.333,0.175,0,0,,0,4,4,9,5,1,4,3,7,alvarjo01
2024,7,Kyle Anderson,PF,30,MIN,15,1,231,26,57,0.456,2,8,0.250,24,49,0.490,0.474,10,12,0.833,18,22,40,38,10,5,10,26,64,anderky01
2024,8,Thanasis Antetokounmpo,PF,31,MIL,2,0,5,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,1,1,0,1,0,antetth01
2024,9,Cole Anthony,PG,23,ORL,7,0,103,13,41,0.317,2,13,0.154,11,28,0.393,0.341,8,9,0.889,2,13,15,9,4,1,5,16,36,anthoco01
2024,10,OG Anunoby,SF,26,NYK,9,9,324,56,111,0.505,16,39,0.410,40,72,0.556,0.577,8,13,0.615,7,47,54,10,8,9,10,15,136,anunoog01
2024,11,Paolo Banchero,PF,21,ORL,7,7,262,68,149,0.456,16,40,0.400,52,109,0.477,0.510,37,49,0.755,14,46,60,28,8,4,32,14,189,banchpa01
2024,12,Nicolas Batum,PF,35,PHI,6,0,170,12,29,0.414,9,22,0.409,3,7,0.429,0.569,5,8,0.625,9,26,35,8,1,5,5,13,38,batumni01
2024,13,Bradley Beal,SG,30,PHO,4,4,154,26,59,0.441,10,23,0.435,16,36,0.444,0.525,4,5,0.800,6,5,11,18,3,1,13,15,66,bealbr01
2024,14,Malik Beasley,SG,27,MIL,6,2,131,21,41,0.512,11,25,0.440,10,16,0.625,0.646,0,0,,1,14,15,4,4,0,3,9,53,beaslma01
2024,15,MarJon Beauchamp,SF,23,MIL,4,0,10,1,4,0.250,0,2,0.000,1,2,0.500,0.250,1,2,0.500,0,1,1,2,0,0,1,1,3,beaucma01
2024,16,Patrick Beverley,PG,35,MIL,6,6,210,16,39,0.410,4,11,0.364,12,28,0.429,0.462,13,15,0.867,4,16,20,33,6,4,6,16,49,beverpa01
2024,17,Goga Bitadze,C,24,ORL,2,0,10,0,2,0.000,0,0,,0,2,0.000,0.000,0,0,,1,2,3,2,0,0,1,0,0,bitadgo01
2024,18,Anthony Black,PG,20,ORL,2,0,11,3,7,0.429,0,2,0.000,3,5,0.600,0.429,0,0,,1,1,2,2,1,0,1,1,6,blackan01
2024,19,Bojan Bogdanović,SF,34,NYK,4,0,51,7,24,0.292,6,15,0.400,1,9,0.111,0.417,4,7,0.571,1,11,12,4,0,1,1,3,24,bogdabo02
2024,20,Bol Bol,PF,24,PHO,3,0,13,1,3,0.333,0,0,,1,3,0.333,0.333,0,0,,0,4,4,0,1,0,0,2,2,bolbo01
2024,21,Devin Booker,PG,27,PHO,4,4,166,32,65,0.492,7,20,0.350,25,45,0.556,0.546,39,41,0.951,1,12,13,24,7,1,11,18,110,bookede01
2024,22,Brandon Boston Jr.,SF,22,LAC,3,0,10,2,4,0.500,0,0,,2,4,0.500,0.500,1,2,0.500,1,1,2,1,0,0,0,2,5,bostobr01
2024,23,Christian Braun,SG,22,DEN,12,0,204,23,54,0.426,4,18,0.222,19,36,0.528,0.463,11,16,0.688,9,23,32,9,2,5,1,18,61,braunch01
2024,24,Oshae Brissett,SF,25,BOS,10,0,55,6,11,0.545,2,2,1.000,4,9,0.444,0.636,2,4,0.500,3,11,14,0,3,2,1,2,16,brissos01
2024,25,Jaylen Brown,SF,27,BOS,19,19,707,175,339,0.516,36,110,0.327,139,229,0.607,0.569,68,103,0.660,22,91,113,62,23,12,51,51,454,brownja02
2024,26,Kendall Brown,SG,20,IND,7,0,25,2,6,0.333,0,0,,2,6,0.333,0.333,0,0,,0,3,3,2,0,1,3,2,4,brownke03
2024,27,Kobe Brown,PF,24,LAC,3,0,10,0,0,,0,0,,0,0,,,0,0,,1,1,2,0,0,0,0,1,0,brownko01
2024,28,Jalen Brunson,PG,27,NYK,13,13,518,151,340,0.444,26,84,0.310,125,256,0.488,0.482,93,120,0.775,8,35,43,97,10,2,35,26,421,brunsja01
2024,29,Thomas Bryant,C,26,MIA,2,0,18,5,7,0.714,0,2,0.000,5,5,1.000,0.714,2,3,0.667,2,3,5,1,0,0,2,1,12,bryanth01
2024,30,Alec Burks,SG,32,NYK,6,0,121,25,50,0.500,12,28,0.429,13,22,0.591,0.620,27,32,0.844,4,16,20,6,1,1,0,6,89,burksal01
2024,31,Kentavious Caldwell-Pope,SG,30,DEN,12,12,420,34,86,0.395,18,55,0.327,16,31,0.516,0.500,11,11,1.000,5,30,35,31,17,5,10,37,97,caldwke01
2024,32,Wendell Carter Jr.,C,24,ORL,7,5,185,19,47,0.404,7,25,0.280,12,22,0.545,0.479,8,11,0.727,9,35,44,9,5,4,5,20,53,cartewe01
2024,33,Amir Coffey,SF,26,LAC,6,3,112,7,22,0.318,3,11,0.273,4,11,0.364,0.386,0,0,,2,8,10,2,2,1,5,6,17,coffeam01
2024,34,Mike Conley,PG,36,MIN,15,15,474,62,145,0.428,30,76,0.395,32,69,0.464,0.531,20,28,0.714,10,48,58,86,21,3,20,38,174,conlemi01
2024,35,Pat Connaughton,SF,31,MIL,6,0,124,11,25,0.440,3,11,0.273,8,14,0.571,0.500,2,2,1.000,3,20,23,13,6,1,3,6,27,connapa01
2024,36,Jae Crowder,PF,33,MIL,4,0,42,3,12,0.250,1,7,0.143,2,5,0.400,0.292,2,2,1.000,2,4,6,2,0,2,0,4,9,crowdja01
2024,37,Dyson Daniels,PG,20,NOP,3,0,17,2,6,0.333,0,2,0.000,2,4,0.500,0.333,0,0,,0,2,2,0,2,0,1,0,4,daniedy01
2024,38,Anthony Davis,C,30,LAL,5,5,208,59,93,0.634,0,5,0.000,59,88,0.670,0.634,21,26,0.808,15,63,78,20,2,8,11,19,139,davisan02
2024,39,Mamadi Diakite,PF,27,NYK,4,0,15,0,3,0.000,0,2,0.000,0,1,0.000,0.000,2,2,1.000,0,3,3,1,1,1,1,3,2,diakima01
2024,40,Ousmane Dieng,PF,20,OKC,4,0,7,1,2,0.500,0,1,0.000,1,1,1.000,0.500,0,0,,0,0,0,0,0,0,0,0,2,diengou01
2024,41,Spencer Dinwiddie,PG,30,LAL,5,0,73,5,14,0.357,2,8,0.250,3,6,0.500,0.429,3,6,0.500,1,6,7,8,2,1,1,7,15,dinwisp01
2024,42,Donte DiVincenzo,SG,27,NYK,13,13,466,80,191,0.419,45,106,0.425,35,85,0.412,0.537,26,30,0.867,13,39,52,34,16,12,16,29,231,divindo01
2024,43,Luka Dončić,PG,24,DAL,22,22,900,225,504,0.446,68,211,0.322,157,293,0.536,0.514,117,153,0.765,16,192,208,178,41,8,90,56,635,doncilu01
2024,44,Luguentz Dort,SF,24,OKC,10,10,350,33,91,0.363,25,64,0.391,8,27,0.296,0.500,16,19,0.842,19,27,46,20,13,2,11,42,107,dortlu01
2024,45,Kevin Durant,PF,35,PHO,4,4,168,37,67,0.552,5,12,0.417,32,55,0.582,0.590,28,34,0.824,1,25,26,13,2,6,10,8,107,duranke01
2024,46,Anthony Edwards,SG,22,MIN,16,16,649,156,324,0.481,46,115,0.400,110,209,0.526,0.552,83,102,0.814,18,94,112,104,24,9,52,37,441,edwaran01
2024,47,Joel Embiid,C,29,PHI,6,6,248,59,133,0.444,13,39,0.333,46,94,0.489,0.492,67,78,0.859,19,46,65,34,7,9,25,20,198,embiijo01
2024,48,Drew Eubanks,C,26,PHO,3,0,37,7,12,0.583,0,0,,7,12,0.583,0.583,3,3,1.000,0,4,4,0,2,1,2,6,17,eubandr01
2024,49,Dante Exum,PG,28,DAL,21,0,144,16,44,0.364,7,20,0.350,9,24,0.375,0.443,4,6,0.667,3,14,17,12,3,1,5,9,43,exumda01
2024,50,Markelle Fultz,PG,25,ORL,7,0,106,20,34,0.588,0,1,0.000,20,33,0.606,0.588,5,9,0.556,7,7,14,8,3,0,8,12,45,fultzma01
2024,51,Daniel Gafford,PF,25,DAL,22,22,445,78,123,0.634,0,0,,78,123,0.634,0.634,41,65,0.631,42,80,122,15,6,33,19,38,197,gaffoda01
2024,52,Danilo Gallinari,SF,35,MIL,3,0,37,4,8,0.500,0,2,0.000,4,6,0.667,0.500,3,4,0.750,1,8,9,2,0,0,1,0,11,gallida01
2024,53,Darius Garland,PG,24,CLE,12,12,432,73,171,0.427,25,71,0.352,48,100,0.480,0.500,17,21,0.810,1,42,43,69,13,2,27,33,188,garlada01
2024,54,Luka Garza,C,25,MIN,7,0,26,10,12,0.833,2,3,0.667,8,9,0.889,0.917,7,8,0.875,2,4,6,1,0,0,0,0,29,garzalu01
2024,55,Paul George,PF,33,LAC,6,6,222,39,95,0.411,18,49,0.367,21,46,0.457,0.505,21,25,0.840,3,38,41,29,7,3,14,22,117,georgpa01
2024,56,Josh Giddey,SG,21,OKC,10,8,181,34,75,0.453,12,34,0.353,22,41,0.537,0.533,7,8,0.875,7,29,36,21,2,4,12,9,87,giddejo01
2024,57,Shai Gilgeous-Alexander,PG,25,OKC,10,10,399,111,224,0.496,16,37,0.432,95,187,0.508,0.531,64,81,0.790,8,64,72,64,13,17,22,31,302,gilgesh01
2024,58,Rudy Gobert,C,31,MIN,15,15,512,64,104,0.615,0,0,,64,104,0.615,0.615,53,79,0.671,40,107,147,24,14,15,23,55,181,goberru01
2024,59,Aaron Gordon,PF,28,DEN,12,12,445,69,118,0.585,11,27,0.407,58,91,0.637,0.631,23,28,0.821,36,51,87,53,10,7,18,28,172,gordoaa01
2024,60,Eric Gordon,SG,35,PHO,4,0,118,9,28,0.321,7,17,0.412,2,11,0.182,0.446,7,8,0.875,1,6,7,5,5,2,4,5,32,gordoer01
2024,61,A.J. Green,SG,24,MIL,6,0,67,6,16,0.375,2,11,0.182,4,5,0.800,0.438,3,3,1.000,0,9,9,2,0,0,1,9,17,greenaj01
2024,62,Josh Green,SG,23,DAL,22,0,399,36,85,0.424,23,59,0.390,13,26,0.500,0.559,14,19,0.737,21,35,56,23,17,3,7,29,109,greenjo02
2024,63,Rui Hachimura,PF,25,LAL,5,5,152,15,38,0.395,5,14,0.357,10,24,0.417,0.461,4,8,0.500,6,13,19,4,0,0,2,8,39,hachiru01
2024,64,Tyrese Haliburton,PG,23,IND,15,15,522,105,215,0.488,53,140,0.379,52,75,0.693,0.612,17,20,0.850,12,60,72,123,19,10,31,14,280,halibty01
2024,65,Tim Hardaway Jr.,SF,31,DAL,14,0,178,22,58,0.379,13,37,0.351,9,21,0.429,0.491,4,8,0.500,2,23,25,5,5,1,2,10,61,hardati02
2024,66,James Harden,PG,34,LAC,6,6,242,40,89,0.449,18,47,0.383,22,42,0.524,0.551,29,32,0.906,3,24,27,48,6,6,14,13,127,hardeja01
2024,67,Jaden Hardy,SG,21,DAL,19,0,129,29,68,0.426,11,27,0.407,18,41,0.439,0.507,11,15,0.733,2,13,15,17,3,0,7,13,80,hardyja02
2024,68,Gary Harris,SG,29,ORL,6,6,159,8,28,0.286,7,22,0.318,1,6,0.167,0.411,2,2,1.000,5,7,12,4,7,3,2,18,25,harriga01
2024,69,Tobias Harris,PF,31,PHI,6,6,218,22,51,0.431,6,18,0.333,16,33,0.485,0.490,4,4,1.000,9,34,43,9,1,3,3,11,54,harrito02
2024,70,Josh Hart,SF,28,NYK,13,13,548,66,150,0.440,22,59,0.373,44,91,0.484,0.513,35,48,0.729,37,113,150,59,13,10,34,41,189,hartjo01
2024,71,Isaiah Hartenstein,C,25,NYK,13,13,388,45,76,0.592,1,2,0.500,44,74,0.595,0.599,19,22,0.864,49,53,102,46,4,12,19,41,110,harteis01
2024,72,Sam Hauser,SF,26,BOS,19,0,283,36,84,0.429,27,71,0.380,9,13,0.692,0.589,4,4,1.000,8,33,41,11,5,3,3,20,103,hausesa01
2024,73,Jordan Hawkins,SG,21,NOP,3,0,12,0,4,0.000,0,3,0.000,0,1,0.000,0.000,0,0,,0,2,2,0,0,0,0,1,0,hawkijo01
2024,74,Jaxson Hayes,C,23,LAL,4,0,24,0,2,0.000,0,0,,0,2,0.000,0.000,1,2,0.500,3,9,12,1,0,0,2,7,1,hayesja02
2024,75,Gordon Hayward,SF,33,OKC,7,0,46,0,3,0.000,0,0,,0,3,0.000,0.000,0,0,,1,12,13,3,1,1,0,2,0,haywago01
2024,76,Tyler Herro,SG,24,MIA,5,5,185,30,78,0.385,15,43,0.349,15,35,0.429,0.481,9,10,0.900,0,18,18,27,2,0,14,10,84,herroty01
2024,77,Buddy Hield,SG,31,PHI,4,0,51,7,17,0.412,6,13,0.462,1,4,0.250,0.588,2,2,1.000,2,3,5,2,0,1,2,4,22,hieldbu01
2024,78,Haywood Highsmith,PF,27,MIA,5,0,126,10,28,0.357,3,16,0.188,7,12,0.583,0.411,1,1,1.000,2,12,14,8,1,1,4,14,24,highsha01
2024,79,Jrue Holiday,PG,33,BOS,19,19,720,97,193,0.503,35,87,0.402,62,106,0.585,0.593,21,22,0.955,37,79,116,83,21,12,29,40,250,holidjr01
2024,80,Justin Holiday,SG,34,DEN,12,0,150,11,35,0.314,11,29,0.379,0,6,0.000,0.471,2,4,0.500,1,19,20,4,6,0,3,16,35,holidju01
2024,81,Chet Holmgren,C,21,OKC,10,10,345,59,119,0.496,13,50,0.260,46,69,0.667,0.550,25,33,0.758,14,58,72,21,7,25,19,26,156,holmgch01
2024,82,Al Horford,C,37,BOS,19,15,575,66,138,0.478,35,95,0.368,31,43,0.721,0.605,7,11,0.636,35,98,133,40,15,16,12,28,174,horfoal01
2024,83,Caleb Houstan,SF,21,ORL,3,0,14,1,2,0.500,1,2,0.500,0,0,,0.750,0,0,,1,1,2,0,0,0,0,0,3,houstca01
2024,84,Jett Howard,SF,20,ORL,2,0,10,2,3,0.667,1,1,1.000,1,2,0.500,0.833,0,0,,0,1,1,1,0,0,2,1,5,howarje01
2024,85,Bones Hyland,PG,23,LAC,3,0,12,3,7,0.429,1,5,0.200,2,2,1.000,0.500,4,4,1.000,0,2,2,4,0,0,1,0,11,hylanbo01
2024,86,Joe Ingles,SF,36,ORL,7,0,68,4,12,0.333,2,7,0.286,2,5,0.400,0.417,1,2,0.500,2,11,13,12,3,0,0,3,11,inglejo01
2024,87,Brandon Ingram,SF,26,NOP,4,4,145,19,55,0.345,2,8,0.250,17,47,0.362,0.364,17,19,0.895,1,17,18,13,4,5,9,8,57,ingrabr01
2024,88,Kyrie Irving,SG,31,DAL,22,22,879,186,398,0.467,53,136,0.390,133,262,0.508,0.534,62,73,0.849,22,59,81,113,23,7,51,62,487,irvinky01
2024,89,Jonathan Isaac,PF,26,ORL,7,3,147,16,39,0.410,10,27,0.370,6,12,0.500,0.538,2,2,1.000,10,24,34,3,5,9,4,7,44,isaacjo01
