Year,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,NRtg,Rel NRtg,Playoffs,SW,SL,Rtg
1996,Bulls,72,10,0.878,1st of 8,11.8,91.1,-0.7,115.2,7.6,101.8,-5.8,13.4,13.4,Championship,4,0,0.919
2016,Warriors,73,9,0.89,1st of 5,10.38,99.3,3.5,114.5,8.1,103.8,-2.6,10.7,10.7,Finals,3,1,0.894
1997,Bulls,69,13,0.841,1st of 8,10.7,90,-0.1,114.4,7.7,102.4,-4.3,12,11.9,Championship,4,0,0.873
2017,Warriors,67,15,0.817,1st of 5,11.35,99.8,3.4,115.6,6.8,104,-4.8,11.6,11.6,Championship,4,0,0.872
1992,Bulls,67,15,0.817,1st of 7,10.07,94.4,-2.2,115.5,7.3,104.5,-3.7,11,11.0,Championship,4,0,0.845
2015,Warriors,67,15,0.817,1st of 5,10.01,98.3,4.4,111.6,6,101.4,-4.2,10.2,10.2,Championship,4,0,0.844
2024,Celtics,64,18,0.78,1st of 5,10.75,97.2,-1.3,123.2,7.9,111.6,-3.7,11.6,11.6,Championship,4,0,0.836
2016,Spurs,67,15,0.817,1st of 5,10.28,93.8,-2,110.3,3.9,99,-7.4,11.3,11.3,2nd Rnd. Exit,1,1,0.833
2008,Celtics,66,16,0.805,1st of 5,9.3,90.9,-1.5,110.2,2.7,98.9,-8.6,11.3,11.3,Championship,4,0,0.821
2000,Lakers,67,15,0.817,1st of 7,8.41,93.3,0.2,107.3,3.2,98.2,-5.9,9.1,9.1,Championship,4,0,0.810
2009,Cavaliers,66,16,0.805,1st of 5,8.68,88.7,-3,112.4,4.1,102.4,-5.9,10,10.0,Conf. Finals,2,1,0.798
2020,Bucks,56,17,0.767,1st of 5,9.41,105.1,4.8,112.4,1.8,102.9,-7.7,9.5,9.7,2nd Rnd. Exit,1,1,0.782
2018,Rockets,65,17,0.793,1st of 5,8.21,97.6,0.3,114.7,6.1,106.1,-2.5,8.6,8.6,Conf. Finals,2,1,0.779
2013,Heat,66,16,0.805,1st of 5,7.03,90.7,-1.3,112.3,6.4,103.7,-2.2,8.6,8.6,Championship,4,0,0.774
1997,Jazz,64,18,0.78,1st of 7,7.97,90,-0.1,113.6,6.9,104,-2.7,9.6,9.5,Finals,3,1,0.772
1999,Spurs,37,13,0.74,1st of 7,7.12,88.6,-0.3,104,1.8,95,-7.2,9,9.0,Championship,4,0,0.770
1991,TrailBlazers,63,19,0.768,1st of 7,8.47,100.5,2.7,112.8,4.9,104.3,-3.6,8.5,8.5,Conf. Finals,2,1,0.768
2009,Lakers,65,17,0.793,1st of 5,7.11,94.3,2.6,112.8,4.5,104.7,-3.6,8.1,8.1,Championship,4,0,0.768
